"key","en","fr"
"game_title","Clueless Alpinists","Clueless Alpinists"
"start","Start","Commencer"
"how_to","How to play?","Comment jouer?"
"how_to_qi","You will need at least an IQ of 120","QI supérieur à 120 absolument obligatoire"
"quit","Quit","Quitter"
"continue","Continue","Continuer"
"pause_title","The game is paused","Le jeu est en pause!"
"resume","Resume","Reprendre"
"end_race","Give up end return to the menu","Abandonner et retourner au menu"
"map_title","Which map?","Quelle map?"
"play","Play!","Jouer!"
"back","Back","Retour"
"players_title","Who's playing?","Qui joue?"
"expl","Each turn, you will draw 3 cards from your deck, these will be the objects you will use this turn. You can then reorder the cards. When you are finished, they will allow you to advance (or attack other players). The first that reach the end wins the race! During the game, you can get powerups to exchange your cards with better ones.","Chaque tour, vous piochez 3 cartes depuis votre pioche, qui seront les objets que vous allez utiliser. Vous pouvez ensuite réordonner ces cartes. Quand vous aurez fini, les objets vous permettront d'avancer (ou de faire reculer vos adversaires). Le premier qui arrive à la fin gagne! En cours de partie, vous pouvez récupérer des bonus, qui vous permettront d'échanger vos cartes contre d'autres."
"reorder","Reorder your cards","Réordonnez les cartes"
"jump","Click to jump","Cliquez pour sauter"
"jump_wait","Wait to be on the ground to jump","Attendez d'être sur le sol pour sauter"
"jetpack","Hold to use the extinguisher","Maintenez pour vous propulser"
"throw","Click to throw","Cliquez pour lancer"
"balloons","Click to burst the balloons","Cliquez pour éclater les ballons"
"grappling","Click to throw the grappling","Cliquez pour lancer le grappin"
"grappling_end","Click to release the grappling","Cliquez pour lâcher le grappin"
"platform_cloud","Click to place a cloud","Cliquez pour créer un nuage"
"exchange","Select 2 cards to exchange","Choisissez deux cartes a échanger"
"map-1","The Impassable Plateau","Le Plateau Infranchissable"
"map0","The Laborious Climb","L'Escalade Laborieuse"
"map1","The Strenuous Ascent","Le Dénivelé Éprouvant"
"map2","The Exasperating Ascension","L'Exaspérante Montée"
"map3","The Valley of Unpleasantness","La Vallée du Désagrément"
"not_finished","Not finished","Pas fini"
"turns","Turns","Tours"
"tuto_1","Each turn, you draw three cards from your deck.","Chaque tour, vous piochez trois cartes de votre pioche."
"tuto_2","Reorder the cards strategically.","Réordonnez ces cartes stratégiquement."
"tuto_3","You will then use the objects displayed on the cards, one by one, in the order you chose.","Vous utiliserez alors les objets marqués sur les cartes, un a un, dans l'ordre que vous avez choisi."
"tuto_4","Try to touch bonuses! They allow you to exchange one card of your deck with a potentially better one.","Essayez de toucher les bonus! Ils vous permetteront d'échanger une carte de votre pioche avec une carte potentiellement meilleure."
"tuto_5","Objects work best together, so their order is important.","Les objets founctionnent mieux a plusieurs, donc leur ordre est important."
"tuto_6","For instance, bombs are more efficient when you are not on the ground.","Par exemple, les bombes sont plus efficaces quand vous êtes en l'air."
"tuto_7","Be carful! Some passages are particularily dfficult, and using objects to their full potential might requires some practice.","Attention, certains passages sont particulièrement difficiles, et il faut de l'habitude pour exploiter les objets à leur plein potentiel."
"tuto_8","After you reordered your cards, click to throw or use your objects, in the order you chose","Après avoir trié vos cartes, cliquez pour lancer ou activer vos objets, dans l'ordre précédamment choisi."
"tuto_9","The game switches to the next object automatically, so clicking on the cards is useless!","Le jeu passe à l'objet suivant automatiquement, il est inutile de cliquer sur vos cartes!"
"name_placehoder","Type your name...","Entrez votre nom..."
"player_recommand","Best with 3 players","Meilleur avec 3 joueurs"
"diff_hard","HARD","DUR"
"diff_very_hard","VERY HARD","TRÈS DUR"
"diff_extremely_hard","VERY VERY HARD","TRÈS TRÈS DUR"
